"Date","Permit Number","Status","Record Type","Project Name","Address","Expiration Date","Created By","Short Notes",
"12/11/2025","25TMP-109176",,"Residential New Building Permit","DAVID AVELAR","1612 AMANDA AVE, Fort Worth TX 76105",,"citycode",,
"12/11/2025","25TMP-108863",,"Residential New Building Permit","501 Verna Trail N - New Single Family Residence","501 VERNA TRL N, Fort Worth TX 76108 United States",,"jonahmills",,
"12/11/2025","PB25-17019","Pending","Residential New Building Permit","RIS-1720 CAMBIUM DR-M/I HOMES","1720 CAMBIUM DR, FORT WORTH TEXAS 76131",,"Christina Parra",,
"12/11/2025","PB25-17016","Pending","Residential New Building Permit","RIS-7424 MEADOWBROOK-PEZMAC","7424 MEADOWBROOK DR, Fort Worth TX 76112",,"Diana Carter",,
"12/11/2025","PB25-17000","Pending","Residential New Building Permit","METRO CODE","660 TYRONZA DR, Fort Worth TX 76247 United States",,"April Wheeler",,
"12/11/2025","PB25-16996","Pending","Residential New Building Permit","METRO CODE","9608 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/11/2025","PB25-16995","Pending","Residential New Building Permit","METRO CODE","9612 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/11/2025","PB25-16993","Pending","Residential New Building Permit","METRO CODE","9616 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/11/2025","PB25-16992","Pending","Residential New Building Permit","METRO CODE","9700 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/11/2025","PB25-16991","Pending","Residential New Building Permit","METRO CODE","10200 REGAL BEND LN, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/11/2025","PB25-16987","Pending","Residential New Building Permit","METRO CODE","11469 WULSTONE RD, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/11/2025","PB25-16986","Pending","Residential New Building Permit","METRO CODE","1704 TRURO LN, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/11/2025","PB25-16985","Pending","Residential New Building Permit","METRO CODE","1728 TRURO LN, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/11/2025","PB25-16984","Pending","Residential New Building Permit","METRO CODE","1732 TRURO LN, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/11/2025","PB25-16980","Pending","Residential New Building Permit","DR Horton","1620 HARMONY HAVEN DR, Fort Worth TX 76120 United States",,"Stacie Hamby",,
"12/10/2025","PB25-16953","Incomplete Submittal","Residential New Building Permit","1005 Parker Street","1005 PARKER ST, Fort Worth TX 76112 United States",,"LeonordelPil@rLopez2025",,
"12/10/2025","25TMP-108754",,"Residential New Building Permit","New construction of single family home","1320 E MORPHY ST, Fort Worth TX 76104",,"Permitpros",,
"12/10/2025","25TMP-108650",,"Residential New Building Permit",,"1404 SILVER SPRUCE LN, Fort Worth TX 76140",,"hthorne3550",,
"12/10/2025","PB25-16951","Plan Review","Residential New Building Permit","FTW Area Habitat for Humanity","4116 JOSHUA SPRINGS CIR, Fort Worth TX 76123 United States",,"lariwaites",,
"12/10/2025","PB25-16930","Plan Review","Residential New Building Permit","Bureau Veritas","7820 SWITCHWOOD LN, Fort Worth TX 76123 United States",,"Adriana Perez",,
"12/10/2025","PB25-16932","Plan Review","Residential New Building Permit","Bureau Veritas","17129 OXBOROUGH DR, Fort Worth TX 76247 United States",,"Adriana Perez",,
"12/10/2025","PB25-16933","Plan Review","Residential New Building Permit","TRINITY HABITAT FOR HUMANITY-1728 S Main St","1728 S MAIN ST, Fort Worth TX 76110 United States",,"Tina Green",,
"12/10/2025","PB25-16965","Plan Review","Residential New Building Permit","AFFLUENCY HOMES","1609 E BLUFF ST, Fort Worth TX 76102",,"Sanchez Collins",,
"12/10/2025","PB25-16969","Plan Review","Residential New Building Permit","METRO CODE","6928 NIGHT OWL LN, Fort Worth TX 76036 United States",,"April Wheeler",,
"12/10/2025","PB25-16970","Plan Review","Residential New Building Permit","METRO CODE","9237 UNION PACIFIC DR, Fort Worth TX 76036 United States",,"April Wheeler",,
"12/10/2025","PB25-16971","Plan Review","Residential New Building Permit","METRO CODE","15017 SANTOSCOY ST, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/10/2025","PB25-16972","Plan Review","Residential New Building Permit","METRO CODE","16509 BOSTON IVY DR, Fort Worth TX 76247 United States",,"April Wheeler",,
"12/10/2025","PB25-16974","Plan Review","Residential New Building Permit","METRO CODE","9116 KANSAS PACIFIC DR, Fort Worth TX 76036 United States",,"April Wheeler",,
"12/10/2025","PB25-16975","Plan Review","Residential New Building Permit","METRO CODE","6909 LINCOLN PIN WAY, Fort Worth TX 76036 United States",,"April Wheeler",,
"12/09/2025","PB25-16926","Incomplete Submittal","Residential New Building Permit","Single family residence","736 ERNEST ST, Fort Worth TX 76105 United States",,"jeydisarahy",,
"12/09/2025","25TMP-107927",,"Residential New Building Permit","Project 195008","5309 BYERS AVE, Fort Worth TX 76107",,"GreenWorks",,
"12/09/2025","PB25-16909","Plan Review","Residential New Building Permit","ROGELIO CRUCES","1012 W WAGGOMAN ST, Fort Worth TX 76110",,"citycode",,
"12/09/2025","PB25-16868","Plan Review","Residential New Building Permit","DR Horton","8200 RADIANT RIDGE RD, Fort Worth TX 76120 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16878","Plan Review","Residential New Building Permit","RIS-4905 KATY ST-PAZ","4905 KATY ST, Fort Worth TX 76105",,"Diana Carter",,
"12/09/2025","PB25-16879","Plan Review","Residential New Building Permit","Bureau Veritas","4500 SANTENAY PL, Fort Worth TX 76126",,"Adriana Perez",,
"12/09/2025","PB25-16885","Plan Review","Residential New Building Permit","RIS-1100 ASH CRESCENT-PAZ","1100 ASH CRESCENT ST, Fort Worth TX 76104",,"Diana Carter",,
"12/09/2025","PB25-16887","Plan Review","Residential New Building Permit","DR Horton","4212 WOODHILL BEND DR, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16890","Plan Review","Residential New Building Permit","DR Horton","4228 WOODHILL BEND DR, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16891","Plan Review","Residential New Building Permit","DR Horton","4229 WOODHILL BEND DR, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16892","Plan Review","Residential New Building Permit","DR Horton","4232 WOODHILL BEND DR, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16894","Plan Review","Residential New Building Permit","DR Horton","4233 WOODHILL BEND DR, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16903","Plan Review","Residential New Building Permit","METRO CODE","717 MOUNTAIN ALOE DR, Fort Worth TX 76247 United States",,"Sara Miller",,
"12/09/2025","PB25-16910","Plan Review","Residential New Building Permit","METRO CODE","7853 WHISTERWHEEL WAY, Fort Worth TX 76123 United States",,"April Wheeler",,
"12/09/2025","PB25-16911","Plan Review","Residential New Building Permit","METRO CODE","15016 HORSESHOE POST RD, Fort Worth TX 76052 United States",,"April Wheeler",,
"12/09/2025","PB25-16912","Plan Review","Residential New Building Permit","METRO CODE","16512 JAPANESE MAPLE DR, Fort Worth TX 76247 United States",,"April Wheeler",,
"12/09/2025","PB25-16913","Plan Review","Residential New Building Permit","METRO CODE","636 ROSEMALLOW WAY, Fort Worth TX 76247 United States",,"April Wheeler",,
"12/09/2025","PB25-16914","Plan Review","Residential New Building Permit","METRO CODE","1049 ALBERTA SPRUCE RD, Fort Worth TX 76247 United States",,"April Wheeler",,
"12/09/2025","PB25-16916","Plan Review","Residential New Building Permit","METRO CODE","9717 SAINT MICHEL CT, Fort Worth TX 76126",,"April Wheeler",,
"12/09/2025","PB25-16918","Plan Review","Residential New Building Permit","METRO CODE","9572 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"12/09/2025","PB25-16919","Plan Review","Residential New Building Permit","DR Horton","3638 MARINE CREEK PKWY, BLDG 15, Fort Worth TX 76106 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16920","Plan Review","Residential New Building Permit","DR Horton","3640 MARINE CREEK PKWY, BLDG 15, Fort Worth TX 76106 United States",,"Stacie Hamby",,
"12/09/2025","PB25-16921","Plan Review","Residential New Building Permit","DR Horton","3642 MARINE CREEK PKWY, BLDG 15, Fort Worth TX 76106",,"Stacie Hamby",,
"12/08/2025","PB25-16837","Plan Review","Residential New Building Permit","224 Marble Creek Dr","224 MARBLE CREEK DR, Fort Worth TX 76131 United States",,"c20developmentllc",,
"12/08/2025","PB25-16814","Plan Review","Residential New Building Permit","METRO CODE","10529 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16815","Plan Review","Residential New Building Permit","METRO CODE","10525 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16816","Plan Review","Residential New Building Permit","METRO CODE","10521 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16817","Plan Review","Residential New Building Permit","METRO CODE","10517 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16818","Plan Review","Residential New Building Permit","METRO CODE","10513 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16819","Plan Review","Residential New Building Permit","METRO CODE","10509 JUNCO RD, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16820","Plan Review","Residential New Building Permit","METRO CODE","1601 BLACK KITE LN, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16822","Plan Review","Residential New Building Permit","METRO CODE","1605 BLACK KITE LN, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16823","Plan Review","Residential New Building Permit","METRO CODE","1609 BLACK KITE LN, Fort Worth TX 76140 United States",,"April Wheeler",,
"12/08/2025","PB25-16826","Plan Review","Residential New Building Permit","METRO CODE","6732 ROSBY AVE, Fort Worth TX 76123",,"April Wheeler",,
"12/08/2025","PB25-16829","Plan Review","Residential New Building Permit","METRO CODE","2823 FOREST PARK BLVD, Fort Worth TX 76110 United States",,"April Wheeler",,
"12/08/2025","PB25-16845","Plan Review","Residential New Building Permit","DR Horton","16600 HUDSON PRAIRIE WAY, Fort Worth TX 76247 United States",,"Stacie Hamby",,
"12/08/2025","PB25-16847","Plan Review","Residential New Building Permit","DR Horton","16601 HUDSON PRAIRIE WAY, Fort Worth TX 76247 United States",,"Stacie Hamby",,
