"Date","Permit Number","Status","Record Type","Project Name","Address","Expiration Date","Created By","Short Notes",
"11/26/2025","PB25-16447","Incomplete Submittal","Residential New Building Permit","5333 Old Handley - New house","5333 OLD HANDLEY RD, Fort Worth TX 76112 United States",,"barronservicesllc",,
"11/26/2025","PB25-16446","Incomplete Submittal","Residential New Building Permit","5341 Old Handley - New House","5341 OLD HANDLEY RD, Fort Worth TX 76112 United States",,"barronservicesllc",,
"11/26/2025","PB25-16434","Issued","Residential New Building Permit","K. Hovnanian Homes","1705 SOMERIES CT, Fort Worth TX 76052 United States",,"dfwcommunityassistant@khov.com",,
"11/26/2025","PB25-16444","Plan Review","Residential New Building Permit","RIS-7736 SAPWOOD DR-M/I HOMES","7736 SAPWOOD DR, Fort Worth TX 76131 United States",,"Christina Parra",,
"11/26/2025","PB25-16441","Awaiting Client Reply","Residential New Building Permit","METRO CODE","15024 SANTOSCOY ST, Fort Worth TX 76052 United States",,"Jimmy Baisden",,
"11/26/2025","PB25-16439","Issued","Residential New Building Permit","METRO CODE","1437 MUSTANG CANYON DR, Fort Worth TX 76052 United States",,"Jimmy Baisden",,
"11/26/2025","PB25-16438","Issued","Residential New Building Permit","METRO CODE","9589 VERITE ST, Fort Worth TX 76179 United States",,"Jimmy Baisden",,
"11/26/2025","PB25-16437","Issued","Residential New Building Permit","METRO CODE","9588 VERITE ST, Fort Worth TX 76179 United States",,"Jimmy Baisden",,
"11/26/2025","PB25-16435","Approved","Residential New Building Permit","METRO CODE","1356 LITTLE FLOCK DR, Fort Worth TX 76036 United States",,"Jimmy Baisden",,
"11/26/2025","PB25-16430","Awaiting Client Reply","Residential New Building Permit","DR Horton","16300 MILWAUKEE ST, Fort Worth TX 76247",,"Stacie Hamby",,
"11/26/2025","PB25-16429","Awaiting Client Reply","Residential New Building Permit","DR Horton","721 BUSHMAN DR, Fort Worth TX 76008 United States",,"Stacie Hamby",,
"11/26/2025","PB25-16428","Plan Review","Residential New Building Permit","DR Horton","720 BUSHMAN DR, Fort Worth TX 76008 United States",,"Stacie Hamby",,
"11/26/2025","PB25-16426","Awaiting Client Reply","Residential New Building Permit","DR Horton","716 BUSHMAN DR, Fort Worth TX 76008 United States",,"Stacie Hamby",,
"11/26/2025","PB25-16425","Awaiting Client Reply","Residential New Building Permit","DR Horton","712 BUSHMAN DR, Fort Worth TX 76008 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16405","Awaiting Client Reply","Residential New Building Permit","Elm House","3000 N ELM ST, Fort Worth TX 76106",,"NorthwestRoofing",,
"11/25/2025","25TMP-104766",,"Residential New Building Permit","New Residential Home","3017 DONALEE ST, Fort Worth TX 76105 United States",,"Eden.bonilla.mendoza@gmail.com",,
"11/25/2025","PB25-16422","Awaiting Client Reply","Residential New Building Permit","932 Claystone ridge dr","932 CLAYSTONE RIDGE DR, Fort Worth TX 76028 United States",,"junior",,
"11/25/2025","25TMP-104748","Pending","Residential New Building Permit","New Residential Home","3013 DONALEE ST, Fort Worth TX 76105 United States",,"Eden.bonilla.mendoza@gmail.com",,
"11/25/2025","25TMP-104737",,"Residential New Building Permit","New Residential Home","3013 DONALEE ST, Fort Worth TX 76105 United States",,"Eden.bonilla.mendoza@gmail.com",,
"11/25/2025","PB25-16394","Plan Review","Residential New Building Permit",,"3101 CRENSHAW AVE, Fort Worth TX 76105",,"Permitpros",,
"11/25/2025","PB25-16348","Awaiting Client Reply","Residential New Building Permit","METRO CODE","10304 RUSCUS DR, Fort Worth TX 76036 United States",,"April Wheeler",,
"11/25/2025","PB25-16349","Issued","Residential New Building Permit","Bureau Veritas","4605 LYRE LEAF DR, Fort Worth TX 76036 United States",,"Adriana Perez",,
"11/25/2025","PB25-16350","Issued","Residential New Building Permit","METRO CODE","1341 BLAZIN BRONCO TRL, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16351","Issued","Residential New Building Permit","METRO CODE","1325 BLAZIN BRONCO TRL, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16352","Issued","Residential New Building Permit","Bureau Veritas","9729 LATOUR CT, Fort Worth TX 76126",,"Adriana Perez",,
"11/25/2025","PB25-16355","Awaiting Client Reply","Residential New Building Permit","METRO CODE","17216 OXBOROUGH DR, Fort Worth TX 76247 United States",,"April Wheeler",,
"11/25/2025","PB25-16356","Issued","Residential New Building Permit","METRO CODE","1428 LADY BIRD RD, Fort Worth TX 76247 United States",,"April Wheeler",,
"11/25/2025","PB25-16357","Issued","Residential New Building Permit","METRO CODE","3229 OLD DINO LN, FORT WORTH TX 76140",,"April Wheeler",,
"11/25/2025","PB25-16358","Issued","Residential New Building Permit","METRO CODE","15024 HORSESHOE POST RD, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16359","Issued","Residential New Building Permit","Bureau Veritas","7829 PONDVIEW LN, Fort Worth TX 76123 United States",,"Adriana Perez",,
"11/25/2025","PB25-16360","Awaiting Client Reply","Residential New Building Permit","METRO CODE","1456 COMPANERO ST, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16384","Awaiting Client Reply","Residential New Building Permit","DR Horton","10901 LONE RANGER LN, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16385","Awaiting Client Reply","Residential New Building Permit","DR Horton","10905 LONE RANGER LN, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16386","Awaiting Client Reply","Residential New Building Permit","DR Horton","2208 WHITE BUFFALO WAY, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16387","Awaiting Client Reply","Residential New Building Permit","DR Horton","2212 WHITE BUFFALO WAY, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16388","Awaiting Client Reply","Residential New Building Permit","DR Horton","2216 WHITE BUFFALO WAY, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16389","Awaiting Client Reply","Residential New Building Permit","DR Horton","2220 WHITE BUFFALO WAY, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16391","Awaiting Client Reply","Residential New Building Permit","DR Horton","2224 WHITE BUFFALO WAY, Fort Worth TX 76036 United States",,"Stacie Hamby",,
"11/25/2025","PB25-16395","Awaiting Client Reply","Residential New Building Permit","2103 Mc Kenzie LOT B","2103 MC KENZIE ST, UNIT Lot B, Fort Worth TX 76105",,"FreshSoil",,
"11/25/2025","PB25-16401","Plan Review","Residential New Building Permit","RIS-7732 SAPWOOD DR-MI HOMES","7732 SAPWOOD DR, Fort Worth TX 76131 United States",,"Christina Parra",,
"11/25/2025","PB25-16407","Issued","Residential New Building Permit","METRO CODE","9580 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"11/25/2025","PB25-16408","Issued","Residential New Building Permit","METRO CODE","9584 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"11/25/2025","PB25-16409","Issued","Residential New Building Permit","METRO CODE","9585 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"11/25/2025","PB25-16410","Issued","Residential New Building Permit","METRO CODE","9581 VERITE ST, Fort Worth TX 76179 United States",,"April Wheeler",,
"11/25/2025","PB25-16412","Awaiting Client Reply","Residential New Building Permit","METRO CODE","10004 VILLA VERDE DR, Fort Worth TX 76179",,"April Wheeler",,
"11/25/2025","PB25-16413","Plan Review","Residential New Building Permit","RIS-7744 SAPWOOD DR-M/I HOMES","7744 SAPWOOD DR, Fort Worth TX 76131 United States",,"Christina Parra",,
"11/25/2025","PB25-16415","Awaiting Client Reply","Residential New Building Permit","METRO CODE","1457 COMPANERO ST, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16419","Issued","Residential New Building Permit","METRO CODE","15021 SANTOSCOY ST, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/25/2025","PB25-16420","Awaiting Client Reply","Residential New Building Permit","METRO CODE","1453 COMPANERO ST, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16313","Awaiting Client Reply","Residential New Building Permit","320 W Gambrell St","320 W GAMBRELL ST, Fort Worth TX 76115",,"c20developmentllc",,
"11/24/2025","PB25-16292","Issued","Residential New Building Permit","METRO CODE","7108 MEANDERING CREEK LN, Fort Worth TX 76179 United States",,"April Wheeler",,
"11/24/2025","PB25-16294","Issued","Residential New Building Permit","METRO CODE","1309 BLAZIN BRONCO TRL, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16297","Issued","Residential New Building Permit","METRO CODE","1317 HONDO CANYON DR, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16299","Awaiting Client Reply","Residential New Building Permit","DR Horton","1733 LEEVON LN, Fort Worth TX 76140 United States",,"Stacie Hamby",,
"11/24/2025","PB25-16300","Plan Review","Residential New Building Permit","DR Horton","1737 LEEVON LN, Fort Worth TX 76140 United States",,"Stacie Hamby",,
"11/24/2025","PB25-16301","Issued","Residential New Building Permit","METRO CODE","1340 SADDLE SKY TRL, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16302","Issued","Residential New Building Permit",,"1325 HONDO CANYON DR, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16303","Awaiting Client Reply","Residential New Building Permit","DR Horton","1741 LEEVON LN, Fort Worth TX 76140 United States",,"Stacie Hamby",,
"11/24/2025","PB25-16306","Issued","Residential New Building Permit","METRO CODE","1313 HONDO CANYON DR, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16307","Issued","Residential New Building Permit","METRO CODE","1908 ROLLING OAKS DR, Fort Worth TX 76008 United States",,"April Wheeler",,
"11/24/2025","PB25-16309","Issued","Residential New Building Permit","METRO CODE","921 ALBERTA SPRUCE RD, Fort Worth TX 76247 United States",,"April Wheeler",,
"11/24/2025","PB25-16310","Issued","Residential New Building Permit","METRO CODE","905 SCHUBERTS RD, Fort Worth TX 76247 United States",,"April Wheeler",,
"11/24/2025","PB25-16311","Issued","Residential New Building Permit","METRO CODE","1344 SADDLE SKY TRL, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16315","Issued","Residential New Building Permit","METRO CODE","1321 HONDO CANYON DR, Fort Worth TX 76052 United States",,"April Wheeler",,
"11/24/2025","PB25-16320","Awaiting Client Reply","Residential New Building Permit","METRO CODE","352 SONNY DR, FORT WORTH TX 76140",,"April Wheeler",,
"11/24/2025","PB25-16322","Plan Review","Residential New Building Permit","METRO CODE","356 SONNY DR, FORT WORTH TX 76140",,"April Wheeler",,
"11/24/2025","PB25-16324","Issued","Residential New Building Permit","METRO CODE","3221 OLD DINO LN, FORT WORTH TX 76140",,"April Wheeler",,
"11/24/2025","PB25-16331","Awaiting Client Reply","Residential New Building Permit","Pulte Homes","1837 NASEBY RD, Fort Worth TX 76052 United States",,"Stacie Hamby",,
"11/24/2025","PB25-16333","Awaiting Client Reply","Residential New Building Permit","Pulte Homes","1836 NASEBY RD, Fort Worth TX 76052 United States",,"Stacie Hamby",,
