"Date","Permit Number","Status","Record Type","Project Name","Address","Expiration Date","Created By","Short Notes",
"07/31/2025","25TMP-068122",,"Residential New Building Permit","4809 Calmont Ave / New Build","4809 CALMONT AVE, Fort Worth TX 76107",,"lodgeprop",,
"07/31/2025","PB25-10891","Awaiting Client Reply","Residential New Building Permit","Residential New Construction","2928 ELINOR ST, Fort Worth TX 76111",,"remi100182@gmail.com",,
"07/31/2025","25TMP-068292",,"Residential New Building Permit",,"2241 IRWIN ST, Fort Worth TX 76110",,"GreenWorks",,
"07/31/2025","PB25-10917","Finaled","Residential New Building Permit","METRO CODE","1452 BARBACOA DR, Fort Worth TX 76052 United States",,"April Wheeler",,
"07/31/2025","PB25-10912","Awaiting Client Reply","Residential New Building Permit","Minnie’s New Home","4929 FITZHUGH AVE, Fort Worth TX 76105",,"LaTonda Johnson",,
"07/31/2025","PB25-10896","Awaiting Client Reply","Residential New Building Permit","3601 Avenue J","3601 AVE J, Fort Worth TX 76105",,"benjialicea",,
"07/31/2025","PB25-10883","Issued","Residential New Building Permit","METRO CODE","6712 ROSBY AVE, Fort Worth TX 76123",,"April Wheeler",,
"07/31/2025","PB25-10880","Awaiting Client Reply","Residential New Building Permit","Isaias Reyes","5609 S HAMPSHIRE BLVD, Fort Worth TX United States",,"Tyeshia Osby",,
"07/31/2025","PB25-10879","Issued","Residential New Building Permit","METRO CODE","2705 CLEAR ROOT CIR, Fort Worth TX 76108 United States",,"Sara Miller",,
"07/31/2025","PB25-10878","Issued","Residential New Building Permit","METRO CODE","4449 BRENTFIELD DR, Fort Worth TX 76036",,"Sara Miller",,
"07/31/2025","PB25-10876","Issued","Residential New Building Permit","METRO CODE","6737 GOLDEN GROVE RD, Fort Worth TX 76123",,"April Wheeler",,
"07/31/2025","PB25-10875","Issued","Residential New Building Permit","METRO CODE","916 PELOTAZO AVE, Fort Worth TX 76247 United States",,"Sara Miller",,
"07/31/2025","PB25-10874","Finaled","Residential New Building Permit","METRO CODE","6737 ROSBY AVE, Fort Worth TX 76123",,"April Wheeler",,
"07/30/2025","PB25-10853","Issued","Residential New Building Permit","K. Hovnanian Homes","1941 CASSIOBURY CT, Fort Worth TX 76052 United States",,"dfwcommunityassistant@khov.com",,
"07/30/2025","PB25-10829","Finaled","Residential New Building Permit","EDUARDO CARERRA","3404 PATE DR, Fort Worth TX 76119",,"citycode",,
"07/30/2025","PB25-10833","Issued","Residential New Building Permit","1649 E Terrell Ave","1649 E TERRELL AVE, Fort Worth TX 76104",,"c20developmentllc",,
"07/30/2025","PB25-10865","Issued","Residential New Building Permit","METRO CODE","2701 CLEAR ROOT CIR, Fort Worth TX 76108 United States",,"April Wheeler",,
