"Date","Permit Number","Status","Record Type","Project Name","Address","Expiration Date","Created By","Short Notes",
"08/29/2025","25TMP-078147",,"Residential New Building Permit","Green House","4309 GREEN TEAL ST, Fort Worth TX 76262",,"ritagomez22",,
"08/29/2025","25TMP-077956",,"Residential New Building Permit","325 Clarence - New duplex","325 CLARENCE ST, BLDG, Fort Worth TX 76111 United States",,"barronservicesllc",,
"08/29/2025","PB25-12221","Issued","Residential New Building Permit","Bureau Veritas","5817 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12224","Issued","Residential New Building Permit","METRO CODE","9120 RAMBLING STONE WAY, Fort Worth TX 76179 United States",,"April Wheeler",,
"08/29/2025","PB25-12225","Issued","Residential New Building Permit","Bureau Veritas","5825 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12226","Issued","Residential New Building Permit","METRO CODE","9116 RAMBLING STONE WAY, Fort Worth TX 76179 United States",,"April Wheeler",,
"08/29/2025","PB25-12227","Issued","Residential New Building Permit","Bureau Veritas","2532 TANAGER ST, Fort Worth TX 76118 United States",,"Adriana Perez",,
"08/29/2025","PB25-12228","Issued","Residential New Building Permit","METRO CODE","9113 RAMBLING STONE WAY, Fort Worth TX 76179 United States",,"April Wheeler",,
"08/29/2025","PB25-12229","Issued","Residential New Building Permit","METRO CODE","9716 SAINT MICHEL CT, Fort Worth TX 76126",,"Sara Miller",,
"08/29/2025","PB25-12231","Issued","Residential New Building Permit","METRO CODE","16508 HYDRANGEA RD, Fort Worth TX 76247 United States",,"Sara Miller",,
"08/29/2025","PB25-12232","Issued","Residential New Building Permit","METRO CODE","3005 HOLLY HAVEN WAY, Fort Worth TX 76179 United States",,"Sara Miller",,
"08/29/2025","PB25-12234","Issued","Residential New Building Permit","METRO CODE","3001 HOLLY HAVEN WAY, Fort Worth TX 76179 United States",,"Sara Miller",,
"08/29/2025","PB25-12237","Issued","Residential New Building Permit","METRO CODE","4041 ARKLOW ST, Fort Worth TX 76036 United States",,"Sara Miller",,
"08/29/2025","PB25-12239","Issued","Residential New Building Permit","METRO CODE","4045 ARKLOW ST, Fort Worth TX 76036 United States",,"Sara Miller",,
"08/29/2025","PB25-12245","Finaled","Residential New Building Permit","DR Horton","320 EC TALLY DR, Fort Worth TX 76247 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12246","Finaled","Residential New Building Permit","DR Horton","324 EC TALLY DR, Fort Worth TX 76247 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12247","Finaled","Residential New Building Permit","DR Horton","16409 HUDSON PRAIRIE WAY, Fort Worth TX 76247 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12248","Finaled","Residential New Building Permit","DR Horton","16449 ROSELLA LN, Fort Worth TX 76247 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12255","Issued","Residential New Building Permit","DFW Custom Homes","9805 RAY WHITE RD, Fort Worth TX 76244 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12258","Issued","Residential New Building Permit","Bureau Veritas","5856 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12259","Issued","Residential New Building Permit","Bureau Veritas","5809 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12261","Issued","Residential New Building Permit","Bureau Veritas","5841 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12262","Issued","Residential New Building Permit","Bureau Veritas","5844 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12265","Issued","Residential New Building Permit","Bureau Veritas","7800 SWITCHWOOD LN, Fort Worth TX 76123 United States",,"Adriana Perez",,
"08/29/2025","PB25-12267","Issued","Residential New Building Permit","Perry Homes","10432 TERRAPIN RD, Fort Worth TX 76126 United States",,"Stacie Hamby",,
"08/29/2025","PB25-12268","Issued","Residential New Building Permit","Bureau Veritas","5832 WATER BRIDGE LN, Fort Worth TX 76109 United States",,"Adriana Perez",,
"08/29/2025","PB25-12277","Issued","Residential New Building Permit","RIS-3118 PECAN AVE- JUAN RAMIREZ","3118 N PECAN ST, Fort Worth TX 76106",,"Christina Parra",,
"08/28/2025","PB25-12194","Awaiting Client Reply","Residential New Building Permit","EASTLAND","5812 EASTLAND ST, Fort Worth TX 76119",,"saifreza",,
"08/28/2025","PB25-12184","Issued","Residential New Building Permit","New Residential Build","4756 RAMEY AVE, Fort Worth TX 76105 United States",,"LYN626",,
